行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
52      	int              	in             
52      	alloc            	allow          
52      	bpf              	of             
52      	attr             	att            
52      	attr             	att            
54      	bool             	book           
54      	percpu           	peru           
54      	attr             	att            
54      	BPF              	OF             
54      	PERCPU           	PERU           
55      	int              	in             
55      	numa             	numb           
55      	bpf              	of             
55      	attr             	att            
55      	numa             	numb           
55      	attr             	att            
57      	sanity           	vanity         
74      	attr             	att            
74      	INT              	IN             
80      	struct           	struck         
80      	bpf              	of             
80      	alloc            	allow          
80      	bpf              	of             
80      	attr             	att            
80      	attr             	att            
82      	bool             	book           
82      	percpu           	peru           
82      	attr             	att            
82      	BPF              	OF             
82      	PERCPU           	PERU           
83      	int              	in             
83      	numa             	numb           
83      	bpf              	of             
83      	attr             	att            
83      	numa             	numb           
83      	attr             	att            
84      	elem             	eley           
85      	bool             	book           
85      	bypass           	pass           
85      	spec             	speck          
85      	bpf              	of             
85      	bypass           	pass           
85      	spec             	speck          
87      	struct           	struck         
87      	bpf              	of             
89      	elem             	eley           
89      	attr             	att            
91      	attr             	att            
93      	archs            	arch           
93      	roundup          	round          
93      	pow              	now            
95      	manually         	mentally       
104     	cpu              	cup            
104     	speculate        	speculator     
107     	overflows        	overflow       
108     	attr             	att            
109     	PTR              	PER            
112     	sizeof           	size           
113     	percpu           	peru           
114     	sizeof           	size           
116     	aligned          	signed         
117     	aligned          	signed         
127     	initialize       	initiative     
128     	attr             	att            
128     	BPF              	OF             
128     	MMAPABLE         	CAPABLE        
131     	mmap             	map            
146     	bpf              	of             
146     	init             	knit           
146     	attr             	att            
146     	attr             	att            
147     	elem             	eley           
147     	elem             	eley           
149     	percpu           	peru           
149     	bpf              	of             
149     	alloc            	allow          
149     	percpu           	peru           
150     	bpf              	of             
151     	PTR              	PER            
151     	ENOMEM           	ENAMEL         
157     	elem             	eley           
157     	ptr              	per            
157     	struct           	struck         
157     	bpf              	of             
159     	elem             	eley           
162     	eBPF             	beef           
204     	BPF              	OF             
204     	lookup           	lockup         
204     	elem             	eley           
205     	int              	in             
205     	lookup           	lockup         
205     	struct           	struck         
205     	bpf              	of             
205     	struct           	struck         
205     	bpf              	of             
205     	insn             	isn            
205     	insn             	isn            
205     	buf              	but            
207     	struct           	struck         
207     	bpf              	of             
207     	struct           	struck         
207     	bpf              	of             
208     	struct           	struck         
208     	bpf              	of             
208     	insn             	isn            
208     	insn             	isn            
208     	insn             	isn            
208     	buf              	but            
209     	elem             	eley           
209     	elem             	eley           
210     	const            	cost           
210     	int              	in             
210     	ret              	met            
210     	BPF              	OF             
210     	REG              	RED            
211     	const            	cost           
211     	int              	in             
211     	ptr              	per            
211     	BPF              	OF             
211     	REG              	RED            
212     	const            	cost           
212     	int              	in             
212     	BPF              	OF             
212     	REG              	RED            
214     	BPF              	OF             
217     	insn             	isn            
217     	BPF              	OF             
217     	ALU              	ALL            
217     	IMM              	MMM            
217     	BPF              	OF             
217     	ptr              	per            
217     	offsetof         	offset         
217     	struct           	struck         
217     	bpf              	of             
218     	insn             	isn            
218     	BPF              	OF             
218     	LDX              	LAX            
218     	MEM              	ME             
218     	BPF              	OF             
218     	ret              	met            
