行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
4       	bitmap           	batman         
5       	bpf              	of             
6       	btf              	utf            
8       	jhash            	has            
10      	btf              	utf            
10      	ids              	is             
13      	BPF              	OF             
13      	NUMA             	NUMB           
13      	BPF              	OF             
13      	BPF              	OF             
15      	struct           	struck         
15      	bpf              	of             
16      	struct           	struck         
16      	bpf              	of             
17      	bitset           	bitter         
18      	hash             	has            
19      	nr               	or             
19      	hash             	has            
19      	funcs            	funds          
20      	unsigned         	signed         
20      	bitset           	bitter         
23      	hash             	has            
23      	struct           	struck         
23      	bpf              	of             
29      	jhash            	has            
29      	hash             	has            
31      	jhash            	has            
31      	hash             	has            
33      	bitset           	bitter         
36      	peek             	week           
36      	elem             	eley           
36      	struct           	struck         
36      	bpf              	of             
38      	struct           	struck         
38      	bpf              	of             
39      	struct           	struck         
39      	bpf              	of             
42      	nr               	or             
42      	hash             	has            
42      	funcs            	funds          
43      	hash             	has            
44      	bitset           	bitter         
45      	ENOENT           	EVENT          
51      	elem             	eley           
51      	struct           	struck         
51      	bpf              	of             
53      	struct           	struck         
53      	bpf              	of             
54      	struct           	struck         
54      	bpf              	of             
57      	BPF              	OF             
58      	EINVAL           	FINAL          
60      	nr               	or             
60      	hash             	has            
60      	funcs            	funds          
61      	hash             	has            
62      	bitset           	bitter         
68      	elem             	eley           
68      	struct           	struck         
68      	bpf              	of             
73      	elem             	eley           
73      	struct           	struck         
73      	bpf              	of             
78      	int              	in             
78      	struct           	struck         
78      	bpf              	of             
83      	struct           	struck         
83      	bpf              	of             
83      	alloc            	allow          
83      	bpf              	of             
83      	attr             	att            
83      	attr             	att            
85      	bitset           	bitter         
85      	bytes            	bites          
85      	bitset           	bitter         
85      	nr               	or             
85      	hash             	has            
85      	funcs            	funds          
85      	nr               	or             
86      	int              	in             
86      	numa             	numb           
86      	bpf              	of             
86      	attr             	att            
86      	numa             	numb           
86      	attr             	att            
87      	struct           	struck         
87      	bpf              	of             
89      	attr             	att            
89      	attr             	att            
90      	attr             	att            
91      	attr             	att            
92      	bpf              	of             
92      	attr             	att            
93      	xF               	of             
94      	hash             	has            
101     	hash             	has            
101     	unspecified      	specified      
102     	nr               	or             
102     	hash             	has            
102     	funcs            	funds          
104     	optimal          	optical        
104     	minimizes        	minimize       
105     	ln               	in             
106     	hash             	has            
107     	ln               	in             
110     	hashing          	washing        
112     	overflows        	overflow       
113     	GB               	GO             
120     	bytes            	bites          
160     	eBPF             	beef           
160     	peek             	week           
160     	elem             	eley           
161     	PTR              	PER            
161     	EINVAL           	FINAL          
164     	elem             	eley           
164     	struct           	struck         
164     	bpf              	of             
167     	eBPF             	beef           
167     	elem             	eley           
176     	keyless          	sexless        
177     	btf              	utf            
177     	EINVAL           	FINAL          
180     	mem              	me             
180     	const            	cost           
180     	struct           	struck         
180     	bpf              	of             
182     	struct           	struck         
182     	bpf              	of             
183     	bitset           	bitter         
183     	bytes            	bites          
185     	struct           	struck         
185     	bpf              	of             
186     	bitset           	bitter         
186     	bytes            	bites          
186     	BYTES            	BITES          
186     	bitset           	bitter         
187     	bitset           	bitter         
187     	bytes            	bites          
187     	roundup          	round          
187     	bitset           	bitter         
187     	bytes            	bites          
187     	sizeof           	size           
187     	unsigned         	signed         
188     	sizeof           	size           
188     	bitset           	bitter         
188     	bytes            	bites          
191     	BTF              	UTF            
191     	bpf              	of             
191     	btf              	utf            
191     	ids              	is             
191     	struct           	struck         
191     	bpf              	of             
192     	const            	cost           
192     	struct           	struck         
192     	bpf              	of             
192     	ops              	op             
192     	ops              	op             
193     	meta             	met            
193     	bpf              	of             
193     	meta             	met            
194     	alloc            	allow          
194     	alloc            	allow          
197     	elem             	eley           
197     	elem             	eley           
198     	peek             	week           
198     	elem             	eley           
198     	peek             	week           
198     	elem             	eley           
199     	elem             	eley           
199     	elem             	eley           
200     	lookup           	lockup         
200     	elem             	eley           
200     	lookup           	lockup         
200     	elem             	eley           
201     	elem             	eley           
201     	elem             	eley           
202     	elem             	eley           
202     	elem             	eley           
203     	btf              	utf            
203     	btf              	utf            
204     	mem              	me             
204     	mem              	me             
205     	btf              	utf            
205     	bpf              	of             
205     	btf              	utf            
205     	ids              	is             
