行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
3       	Meta             	Met            
3       	Inc              	In             
3       	affiliates       	affiliated     
160     	gfp              	gap            
160     	verifier         	verifies       
161     	BPF              	OF             
161     	bpf              	of             
161     	cgrp             	carp           
161     	struct           	struck         
161     	bpf              	of             
161     	struct           	struck         
161     	cgroup           	group          
161     	cgroup           	group          
162     	gfp              	gap            
162     	gfp              	gap            
164     	struct           	struck         
164     	bpf              	of             
164     	sdata            	data           
166     	bpf              	of             
166     	rcu              	rou            
167     	BPF              	OF             
168     	unsigned         	signed         
170     	cgroup           	group          
171     	unsigned         	signed         
173     	bpf              	of             
173     	cgrp             	carp           
174     	unsigned         	signed         
176     	sdata            	data           
176     	cgroup           	group          
176     	lookup           	lockup         
176     	cgroup           	group          
177     	sdata            	data           
178     	goto             	got            
178     	unlock           	clock          
180     	cgroup           	group          
180     	refcounted       	recounted      
