行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
4       	Google           	Goose          
4       	LLC              	LL             
137     	gfp              	gap            
137     	verifier         	verifies       
138     	BPF              	OF             
138     	bpf              	of             
138     	inode            	node           
138     	struct           	struck         
138     	bpf              	of             
138     	struct           	struck         
138     	inode            	node           
138     	inode            	node           
139     	gfp              	gap            
139     	gfp              	gap            
141     	struct           	struck         
141     	bpf              	of             
141     	sdata            	data           
143     	bpf              	of             
143     	rcu              	rou            
144     	BPF              	OF             
145     	unsigned         	signed         
147     	inode            	node           
147     	ptr              	per            
148     	inode            	node           
148     	lookup           	lockup         
149     	bpf              	of             
159     	inode            	node           
160     	refcount         	recounts       
180     	inode            	node           
181     	refcount         	recounts       
