行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
4       	fs               	is             
5       	inodes           	nodes          
7       	bpf              	of             
8       	rcupdate         	update         
10      	struct           	struck         
10      	bpf              	of             
10      	iter             	inter          
10      	info             	into           
11      	struct           	struck         
12      	const            	cost           
12      	struct           	struck         
12      	bpf              	of             
12      	iter             	inter          
12      	reg              	red            
12      	reg              	red            
12      	info             	into           
13      	btf              	utf            
13      	cached           	called         
35      	bpf              	of             
35      	iter             	inter          
36      	MUTEX            	MUTE           
36      	mutex            	mute           
38      	seq              	see            
85      	bailing          	failing        
86      	ITER             	INTER          
88      	bpf              	of             
88      	seq              	see            
88      	bpf              	of             
88      	iterator         	operator       
89      	seq              	see            
90      	buffer           	suffer         
91      	llseek           	seek           
92      	bpf              	of             
140     	seq              	see            
140     	num              	sum            
141     	reuse            	refuse         
141     	seq              	see            
141     	num              	sum            
170     	seq              	see            
170     	num              	sum            
171     	bpf              	of             
171     	iter             	inter          
171     	inc              	in             
171     	seq              	see            
171     	num              	sum            
171     	seq              	see            
173     	seq              	see            
176     	num              	sum            
176     	objs             	obs            
176     	ITER             	INTER          
177     	offs             	off            
178     	EAGAIN           	AGAIN          
179     	seq              	see            
179     	seq              	see            
180     	goto             	got            
185     	seq              	see            
185     	seq              	see            
187     	bpf              	of             
187     	iter             	inter          
187     	seq              	see            
187     	num              	sum            
187     	seq              	see            
188     	seq              	see            
188     	offs             	off            
189     	seq              	see            
189     	seq              	see            
190     	seq              	see            
190     	offs             	off            
191     	offs             	off            
194     	seq              	see            
194     	seq              	see            
195     	goto             	got            
200     	resched          	reached        
201     	resched          	reached        
204     	offs             	off            
204     	seq              	see            
206     	seq              	see            
206     	seq              	see            
207     	PTR              	PER            
208     	goto             	got            
210     	bpf              	of             
291     	reg              	red            
291     	info             	into           
291     	cached           	called         
291     	bpf              	of             
291     	iter             	inter          
291     	info             	into           
292     	reg              	red            
292     	info             	into           
293     	const            	cost           
294     	bpf              	of             
294     	iter             	inter          
294     	reg              	red            
550     	resched          	reached        
550     	iterator         	operator       
551     	prog             	pro            
551     	bpf              	of             
551     	iter             	inter          
551     	resched          	reached        
551     	tinfo            	into           
552     	EINVAL           	FINAL          
554     	sizeof           	size           
554     	GFP              	GAP            
554     	GFP              	GAP            
554     	NOWARN           	TOWARD         
556     	ENOMEM           	ENAMEL         
558     	bpf              	of             
558     	init             	knit           
558     	BPF              	OF             
558     	ITER             	INTER          
558     	bpf              	of             
558     	iter             	inter          
558     	lops             	lips           
558     	prog             	pro            
559     	tinfo            	into           
559     	tinfo            	into           
561     	bpf              	of             
561     	primer           	prime          
563     	kfree            	free           
567     	tinfo            	into           
567     	reg              	red            
567     	info             	into           
568     	tinfo            	into           
568     	reg              	red            
568     	info             	into           
568     	prog             	pro            
568     	linfo            	lingo          
570     	bpf              	of             
570     	cleanup          	clean          
570     	primer           	prime          
575     	bpf              	of             
575     	primer           	prime          
578     	init             	knit           
578     	seq              	see            
578     	meta             	met            
578     	struct           	struck         
578     	bpf              	of             
578     	iter             	inter          
578     	priv             	prim           
578     	priv             	prim           
579     	struct           	struck         
579     	bpf              	of             
579     	iter             	inter          
579     	info             	into           
