行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
5       	hash             	has            
8       	bpf              	of             
9       	btf              	utf            
9       	ids              	is             
10      	bpf              	of             
12      	uapi             	up             
12      	diag             	drag           
13      	uapi             	up             
13      	btf              	utf            
14      	rcupdate         	update         
15      	rcupdate         	update         
16      	rcupdate         	update         
18      	BPF              	OF             
18      	BPF              	OF             
18      	BPF              	OF             
18      	CLONE            	ALONE          
20      	struct           	struck         
20      	bpf              	of             
21      	struct           	struck         
21      	bpf              	of             
21      	smap             	map            
22      	struct           	struck         
22      	bpf              	of             
22      	elem             	eley           
22      	selem            	seem           
24      	smap             	map            
24      	buckets          	bucket         
24      	hash             	has            
24      	ptr              	per            
24      	selem            	seem           
24      	smap             	map            
27      	int              	in             
27      	mem              	me             
27      	struct           	struck         
27      	bpf              	of             
27      	smap             	map            
29      	struct           	struck         
29      	bpf              	of             
29      	smap             	map            
31      	ops              	op             
34      	ops              	op             
34      	smap             	map            
37      	mem              	me             
37      	uncharge         	charge         
37      	struct           	struck         
37      	bpf              	of             
37      	smap             	map            
40      	struct           	struck         
40      	bpf              	of             
40      	smap             	map            
42      	ops              	op             
42      	uncharge         	charge         
43      	ops              	op             
43      	uncharge         	charge         
43      	smap             	map            
46      	struct           	struck         
46      	bpf              	of             
46      	rcu              	rou            
47      	struct           	struck         
47      	bpf              	of             
47      	smap             	map            
49      	struct           	struck         
49      	bpf              	of             
49      	smap             	map            
51      	ops              	op             
51      	ptr              	per            
54      	bool             	book           
54      	selem            	seem           
54      	lockless         	luckless       
54      	const            	cost           
54      	struct           	struck         
54      	bpf              	of             
54      	elem             	eley           
54      	selem            	seem           
56      	hlist            	list           
56      	unhashed         	unabashed      
56      	lockless         	luckless       
56      	selem            	seem           
56      	snode            	node           
59      	bool             	book           
59      	selem            	seem           
59      	const            	cost           
59      	struct           	struck         
59      	bpf              	of             
59      	elem             	eley           
59      	selem            	seem           
61      	hlist            	list           
61      	unhashed         	unabashed      
61      	selem            	seem           
61      	snode            	node           
64      	bool             	book           
64      	selem            	seem           
64      	lockless         	luckless       
64      	const            	cost           
64      	struct           	struck         
64      	bpf              	of             
64      	elem             	eley           
64      	selem            	seem           
66      	hlist            	list           
66      	unhashed         	unabashed      
66      	lockless         	luckless       
66      	selem            	seem           
69      	bool             	book           
69      	selem            	seem           
69      	const            	cost           
69      	struct           	struck         
69      	bpf              	of             
69      	elem             	eley           
69      	selem            	seem           
71      	hlist            	list           
71      	unhashed         	unabashed      
71      	selem            	seem           
74      	struct           	struck         
74      	bpf              	of             
74      	elem             	eley           
75      	bpf              	of             
75      	selem            	seem           
75      	alloc            	allow          
75      	struct           	struck         
75      	bpf              	of             
75      	smap             	map            
76      	bool             	book           
76      	mem              	me             
76      	gfp              	gap            
76      	gfp              	gap            
78      	struct           	struck         
78      	bpf              	of             
78      	elem             	eley           
78      	selem            	seem           
80      	mem              	me             
80      	mem              	me             
80      	smap             	map            
80      	smap             	map            
80      	elem             	eley           
83      	smap             	map            
83      	bpf              	of             
84      	disable          	disabled       
85      	selem            	seem           
85      	bpf              	of             
85      	mem              	me             
85      	cache            	ache           
85      	alloc            	allow          
85      	smap             	map            
