行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
52      	alloc            	allow          
54      	bool             	book           
54      	percpu           	perch          
54      	PERCPU           	PERCH          
55      	numa             	noma           
55      	numa             	noma           
57      	sanity           	vanity         
80      	alloc            	allow          
82      	bool             	book           
82      	percpu           	perch          
82      	PERCPU           	PERCH          
83      	numa             	noma           
83      	numa             	noma           
85      	bool             	book           
85      	bypass           	pass           
85      	spec             	speck          
85      	bypass           	pass           
85      	spec             	speck          
93      	archs            	arch           
93      	roundup          	round          
93      	pow              	now            
95      	manually         	mentally       
104     	speculate        	speculator     
107     	overflows        	overflow       
109     	PTR              	PER            
112     	sizeof           	size           
113     	percpu           	perch          
114     	sizeof           	size           
116     	aligned          	signed         
117     	aligned          	signed         
127     	initialize       	initiative     
128     	MMAPABLE         	CAPABLE        
131     	mmap             	map            
149     	percpu           	perch          
149     	alloc            	allow          
149     	percpu           	perch          
151     	PTR              	PER            
151     	ENOMEM           	ENAMEL         
157     	ptr              	per            
162     	eBPF             	bpf            
204     	lookup           	lockup         
205     	lookup           	lockup         
205     	insn             	isn            
205     	insn             	isn            
205     	buf              	but            
208     	insn             	isn            
208     	insn             	isn            
208     	insn             	isn            
208     	buf              	but            
210     	const            	cost           
210     	ret              	met            
210     	REG              	RED            
211     	const            	cost           
211     	ptr              	per            
211     	REG              	RED            
212     	const            	cost           
212     	REG              	RED            
217     	insn             	isn            
217     	ALU              	ALL            
217     	IMM              	MM             
217     	ptr              	per            
217     	offsetof         	offset         
218     	insn             	isn            
218     	LDX              	LAX            
218     	MEM              	ME             
218     	ret              	met            
219     	bypass           	pass           
219     	spec             	speck          
220     	insn             	isn            
220     	JMP              	JUMP           
220     	IMM              	MM             
220     	JGE              	AGE            
220     	ret              	met            
221     	insn             	isn            
221     	ALU              	ALL            
221     	IMM              	MM             
221     	ret              	met            
223     	insn             	isn            
223     	JMP              	JUMP           
223     	IMM              	MM             
223     	JGE              	AGE            
223     	ret              	met            
227     	insn             	isn            
227     	ALU              	ALL            
227     	IMM              	MM             
227     	LSH              	LASH           
227     	ret              	met            
227     	ilog             	log            
229     	insn             	isn            
229     	ALU              	ALL            
229     	IMM              	MM             
229     	MUL              	MUD            
229     	ret              	met            
231     	insn             	isn            
231     	ALU              	ALL            
231     	REG              	RED            
231     	ret              	met            
231     	ptr              	per            
232     	insn             	isn            
232     	JMP              	JUMP           
232     	IMM              	MM             
233     	insn             	isn            
233     	MOV              	MOVE           
233     	IMM              	MM             
233     	ret              	met            
234     	insn             	isn            
234     	insn             	isn            
234     	buf              	but            
237     	eBPF             	bpf            
276     	kernel           	keener         
303     	ENOENT           	EVENT          
309     	eBPF             	bpf            
319     	EINVAL           	FINAL          
322     	allocated        	allocate       
327     	EEXIST           	EXIST          
330     	btf              	bpf            
331     	EINVAL           	FINAL          
333     	PERCPU           	PERCH          
334     	ptr              	per            
334     	pptrs            	parts          
336     	obj              	obs            
344     	obj              	obs            
349     	percpu           	perch          
354     	percpu           	perch          
354     	pptr             	part           
363     	allocated        	allocate       
366     	NOEXIST          	COEXIST        
372     	lookup           	lockup         
373     	zeros            	zero           
373     	percpu           	perch          
373     	alloc            	allow          
