行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
4       	bitmap           	batman         
6       	btf              	bpf            
8       	jhash            	hash           
10      	btf              	bpf            
10      	ids              	is             
13      	NUMA             	NOMA           
17      	bitset           	bitter         
19      	nr               	or             
19      	funcs            	funds          
20      	unsigned         	signed         
20      	bitset           	bitter         
29      	jhash            	hash           
31      	jhash            	hash           
33      	bitset           	bitter         
36      	peek             	week           
42      	nr               	or             
42      	funcs            	funds          
44      	bitset           	bitter         
45      	ENOENT           	EVENT          
58      	EINVAL           	FINAL          
60      	nr               	or             
60      	funcs            	funds          
62      	bitset           	bitter         
83      	alloc            	allow          
85      	bitset           	bitter         
85      	bitset           	bitter         
85      	nr               	or             
85      	funcs            	funds          
85      	nr               	or             
86      	numa             	noma           
86      	numa             	noma           
93      	xF               	of             
101     	unspecified      	specified      
102     	nr               	or             
102     	funcs            	funds          
104     	optimal          	optical        
104     	minimizes        	minimize       
105     	ln               	in             
107     	ln               	in             
110     	hashing          	washing        
112     	overflows        	overflow       
113     	GB               	GO             
160     	eBPF             	bpf            
160     	peek             	week           
161     	PTR              	PER            
161     	EINVAL           	FINAL          
167     	eBPF             	bpf            
176     	keyless          	sexless        
177     	btf              	bpf            
177     	EINVAL           	FINAL          
180     	mem              	me             
180     	const            	cost           
183     	bitset           	bitter         
186     	bitset           	bitter         
186     	bitset           	bitter         
187     	bitset           	bitter         
187     	roundup          	round          
187     	bitset           	bitter         
187     	sizeof           	size           
187     	unsigned         	signed         
188     	sizeof           	size           
188     	bitset           	bitter         
191     	BTF              	BPF            
191     	btf              	bpf            
191     	ids              	is             
192     	const            	cost           
192     	ops              	op             
192     	ops              	op             
193     	meta             	met            
193     	meta             	met            
194     	alloc            	allow          
194     	alloc            	allow          
198     	peek             	week           
198     	peek             	week           
200     	lookup           	lockup         
200     	lookup           	lockup         
203     	btf              	bpf            
203     	btf              	bpf            
204     	mem              	me             
204     	mem              	me             
205     	btf              	bpf            
205     	btf              	bpf            
205     	ids              	is             
