行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
4       	LLC              	LL             
137     	gfp              	gap            
137     	verifier         	verifies       
138     	inode            	node           
138     	inode            	node           
138     	inode            	node           
139     	gfp              	gap            
139     	gfp              	gap            
141     	sdata            	data           
143     	rcu              	rou            
145     	unsigned         	signed         
147     	inode            	node           
147     	ptr              	per            
148     	inode            	node           
148     	lookup           	lockup         
159     	inode            	node           
160     	refcount         	remount        
180     	inode            	node           
181     	refcount         	remount        
