行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
4       	fs               	is             
5       	inodes           	nodes          
8       	rcupdate         	update         
10      	iter             	inter          
10      	info             	into           
12      	const            	cost           
12      	iter             	inter          
12      	reg              	red            
12      	reg              	red            
12      	info             	into           
13      	btf              	bpf            
13      	cached           	called         
35      	iter             	inter          
36      	MUTEX            	MUTE           
36      	mutex            	mute           
85      	bailing          	failing        
86      	ITER             	INTER          
88      	iterator         	operator       
90      	buffer           	suffer         
91      	llseek           	seek           
140     	num              	sum            
141     	reuse            	refuse         
141     	num              	sum            
170     	num              	sum            
171     	iter             	inter          
171     	inc              	in             
171     	num              	sum            
176     	num              	sum            
176     	objs             	obs            
176     	ITER             	INTER          
177     	offs             	off            
178     	EAGAIN           	AGAIN          
180     	goto             	got            
187     	iter             	inter          
187     	num              	sum            
188     	offs             	off            
190     	offs             	off            
191     	offs             	off            
195     	goto             	got            
200     	resched          	reached        
201     	resched          	reached        
204     	offs             	off            
207     	PTR              	PER            
208     	goto             	got            
291     	reg              	red            
291     	info             	into           
291     	cached           	called         
291     	iter             	inter          
291     	info             	into           
292     	reg              	red            
292     	info             	into           
293     	const            	cost           
294     	iter             	inter          
294     	reg              	red            
550     	resched          	reached        
550     	iterator         	operator       
551     	prog             	pro            
551     	iter             	inter          
551     	resched          	reached        
551     	tinfo            	into           
552     	EINVAL           	FINAL          
554     	sizeof           	size           
554     	GFP              	GAP            
554     	GFP              	GAP            
554     	NOWARN           	TOWARD         
556     	ENOMEM           	ENAMEL         
558     	ITER             	INTER          
558     	iter             	inter          
558     	lops             	lips           
558     	prog             	pro            
559     	tinfo            	into           
559     	tinfo            	into           
561     	primer           	prime          
563     	kfree            	free           
567     	tinfo            	into           
567     	reg              	red            
567     	info             	into           
568     	tinfo            	into           
568     	reg              	red            
568     	info             	into           
568     	prog             	pro            
568     	linfo            	lingo          
570     	cleanup          	clean          
570     	primer           	prime          
575     	primer           	prime          
578     	meta             	met            
578     	iter             	inter          
578     	priv             	prim           
578     	priv             	prim           
579     	iter             	inter          
579     	info             	into           
579     	tinfo            	into           
580     	const            	cost           
580     	iter             	inter          
580     	info             	into           
580     	info             	into           
581     	prog             	pro            
581     	prog             	pro            
583     	priv             	prim           
583     	tinfo            	into           
583     	tinfo            	into           
584     	priv             	prim           
584     	info             	into           
584     	info             	into           
585     	priv             	prim           
585     	prog             	pro            
585     	prog             	pro            
586     	priv             	prim           
586     	inc              	in             
587     	priv             	prim           
587     	num              	sum            
588     	priv             	prim           
591     	iter             	inter          
592     	const            	cost           
592     	iter             	inter          
592     	info             	into           
592     	info             	into           
594     	iter             	inter          
594     	priv             	prim           
594     	priv             	prim           
595     	iter             	inter          
595     	info             	into           
595     	tinfo            	into           
596     	prog             	pro            
596     	prog             	pro            
597     	priv             	prim           
597     	dsize            	size           
601     	mutex            	mute           
601     	mutex            	mute           
602     	prog             	pro            
602     	prog             	pro            
603     	prog             	pro            
603     	inc              	in             
603     	prog             	pro            
604     	mutex            	mute           
604     	unlock           	clock          
604     	mutex            	mute           
606     	tinfo            	into           
606     	tinfo            	into           
607     	priv             	prim           
607     	dsize            	size           
607     	offsetof         	offset         
