行       	原单词          	改正后            
1       	SPDX             	SIDE           
1       	Identifier       	Identified     
1       	GPL              	GAL            
9       	btf              	utf            
9       	ids              	is             
12      	uapi             	up             
12      	diag             	diam           
13      	uapi             	up             
13      	btf              	utf            
14      	rcupdate         	update         
15      	rcupdate         	update         
16      	rcupdate         	update         
18      	CLONE            	ALONE          
21      	smap             	map            
24      	smap             	map            
24      	buckets          	bucket         
24      	ptr              	per            
24      	smap             	map            
27      	mem              	me             
27      	smap             	map            
29      	smap             	map            
31      	ops              	op             
34      	ops              	op             
34      	smap             	map            
37      	mem              	me             
37      	uncharge         	charge         
37      	smap             	map            
40      	smap             	map            
42      	ops              	op             
42      	uncharge         	charge         
43      	ops              	op             
43      	uncharge         	charge         
43      	smap             	map            
46      	rcu              	rou            
47      	smap             	map            
49      	smap             	map            
51      	ops              	op             
51      	ptr              	per            
54      	bool             	book           
54      	lockless         	luckless       
54      	const            	cost           
56      	hlist            	list           
56      	unhashed         	unabashed      
56      	lockless         	luckless       
56      	snode            	node           
59      	bool             	book           
59      	const            	cost           
61      	hlist            	list           
61      	unhashed         	unabashed      
61      	snode            	node           
64      	bool             	book           
64      	lockless         	luckless       
64      	const            	cost           
66      	hlist            	list           
66      	unhashed         	unabashed      
66      	lockless         	luckless       
69      	bool             	book           
69      	const            	cost           
71      	hlist            	list           
71      	unhashed         	unabashed      
75      	alloc            	allow          
75      	smap             	map            
76      	bool             	book           
76      	mem              	me             
76      	gfp              	gap            
76      	gfp              	gap            
80      	mem              	me             
80      	mem              	me             
80      	smap             	map            
80      	smap             	map            
83      	smap             	map            
84      	disable          	disabled       
85      	mem              	me             
85      	cache            	ache           
85      	alloc            	allow          
85      	smap             	map            
85      	gfp              	gap            
89      	mem              	me             
89      	cache            	ache           
89      	alloc            	allow          
92      	mem              	me             
92      	cache            	ache           
93      	prog             	pro            
108     	mem              	me             
109     	mem              	me             
109     	uncharge         	charge         
109     	smap             	map            
109     	smap             	map            
114     	rcu              	rou            
119     	RCU              	ROU            
119     	RCU              	ROU            
120     	kfree            	free           
120     	kfree            	free           
120     	rcu              	rou            
147     	bool             	book           
147     	rcu              	rou            
149     	rcu              	rou            
150     	kfree            	free           
150     	rcu              	rou            
150     	rcu              	rou            
152     	rcu              	rou            
152     	rcu              	rou            
153     	rcu              	rou            
157     	smap             	map            
158     	bool             	book           
158     	bool             	book           
158     	reuse            	refuse         
164     	reuse            	refuse         
168     	reuse            	refuse         
169     	rcu              	rou            
169     	rcu              	rou            
170     	rcu              	rou            
174     	smap             	map            
175     	disable          	disabled       
176     	mem              	me             
176     	cache            	ache           
176     	smap             	map            
179     	smap             	map            
179     	triggered        	trigger        
181     	rcu              	rou            
187     	rcu              	rou            
188     	rcu              	rou            
188     	rcu              	rou            
188     	rcu              	rou            
192     	rcu              	rou            
192     	rcu              	rou            
193     	rcu              	rou            
193     	rcu              	rou            
193     	gp               	up             
194     	kfree            	free           
196     	kfree            	free           
196     	rcu              	rou            
196     	rcu              	rou            
239     	rcu              	rou            
240     	mem              	me             
240     	cache            	ache           
240     	reuse            	refuse         
250     	caller           	called         
250     	smap             	map            
251     	smap             	map            
251     	smap             	map            
251     	cache            	ache           
251     	idx              	ix             
